id,full_name,impact_factor,publisher,issn,ccf_rank,special_issue_title,special_issue_deadline,clicked,detail_page
71,Acta Informatica,1.2,Springer,0001-5903,C,16th International Workshop on Non-Classical Models of Automata and Applications (NCMA 2026),2026-12-31,29011,https://www.myhuiban.com/journal/71
367,Computer Standards & Interfaces,4.6,Elsevier,0920-5489,,Standards and Interfaces for Secure and Trustworthy Multi-Agent IoT Systems,2027-04-30,25091,https://www.myhuiban.com/journal/367
1050,IEEE Transactions on Computational Social Systems,4.9,IEEE,2373-7476,C,"Cyber-Physical-Social Intelligence: State-of-the-art, Perspectives, and Challenges",2026-11-10,31032,https://www.myhuiban.com/journal/1050
703,Journal of Biomedical Informatics,5.9,Elsevier,1532-0464,C,Agentic AI for Real-World Evidence Life Cycle Support - Scaling Trustworthy Evaluation of Treatment Safety and Effectiveness,2026-11-15,29144,https://www.myhuiban.com/journal/703
111,European Journal of Information Systems,8.6,Taylor & Francis,0960-085X,B,The future of creating and distributing value in digital health ecosystems,2026-11-30,33490,https://www.myhuiban.com/journal/111
800,Journal of Intelligent & Robotic Systems,2.8,Springer,0921-0296,,AI and Soft Robotics in Agriculture: From Sensing to Harvesting and Beyond,2026-11-30,23155,https://www.myhuiban.com/journal/800
561,Discrete Dynamics in Nature and Society,1.2,Hindawi,1026-0226,,Next-Generation Mathematical Solving: Applied Mathematics in Action,2026-11-30,26046,https://www.myhuiban.com/journal/561
641,International Journal of Differential Equations,1.5,Hindawi,1687-9643,,Next-Generation Mathematical Solving: Applied Mathematics in Action,2026-11-30,20830,https://www.myhuiban.com/journal/641
1229,Open Ceramics,3.4,Elsevier,2666-5395,,"Additive Manufacturing of Concrete: Materials, Process Control and Structural Design",2026-12-31,738,https://www.myhuiban.com/journal/1229
666,Journal of Logical and Algebraic Methods in Programming,1.0,Elsevier,2352-2208,C,Components Operationally: Reversibility and System Engineering,2027-01-31,20310,https://www.myhuiban.com/journal/666
441,"Applicable Algebra in Engineering, Communication and Computing",0.5,Springer,0938-1279,,GRÖBNER FREE METHODS AND THEIR APPLICATIONS,2026-11-30,20400,https://www.myhuiban.com/journal/441
347,Applied Mathematical Modelling,5.5,Elsevier,0307-904X,,Advanced Mathematical Modelling and Computational Methods for Insurance and Risk Analytics,2027-01-31,30151,https://www.myhuiban.com/journal/347
654,Journal of Engineering,2.3,Hindawi,2314-4904,,Micro/nanofluidics for biomedical applications,2026-12-01,28241,https://www.myhuiban.com/journal/654
197,Neural Networks,7.2,Elsevier,0893-6080,B,"Neural Networks for Human-Centric Perception, Affect, and Experience",2026-12-01,43094,https://www.myhuiban.com/journal/197
417,Signal Processing,3.6,Elsevier,0165-1684,C,Beneficial Noise Processing in Multimodal Signal Processing,2026-12-15,31479,https://www.myhuiban.com/journal/417
400,Ocean Modelling,2.9,Elsevier,1463-5003,,Ocean Decade_Progress in Understanding Ocean and Climate in a Changing World,2026-12-31,23535,https://www.myhuiban.com/journal/400
440,Annals of Operations Research,4.5,Springer,0254-5330,,Multiple Objective Programming and Goal Programming: Artificial Intelligence for Decision Making in Economic and Social Sciences,2027-06-30,28178,https://www.myhuiban.com/journal/440
882,Current Opinion in Systems Biology,2.2,Elsevier,2452-3100,,Current Opinion in Systems Biology,2026-12-31,14074,https://www.myhuiban.com/journal/882
487,The International Journal of Advanced Manufacturing Technology,3.1,Springer,0268-3768,,Looking for more sustainable manufacturing technologies: Shaping our future,2026-12-31,31520,https://www.myhuiban.com/journal/487
83,Formal Methods in System Design,0.8,Springer,0925-9856,B,FMCAD 2025,2026-12-31,24700,https://www.myhuiban.com/journal/83
622,Networks,1.3,Wiley,1097-0037,C,"Interdiction and Stochastic Programming on Networks in Memory of Professor R. Kevin Wood, 1955–2025",2026-12-31,20415,https://www.myhuiban.com/journal/622
1006,Numerical Functional Analysis and Optimization,1.4,Taylor & Francis,0163-0563,,The 45th anniversary of Numerical Functional Analysis and Optimization,2026-12-31,16630,https://www.myhuiban.com/journal/1006
190,International Journal of Approximate Reasoning,2.8,Elsevier,0888-613X,B,Numbers of the Future: Dealing with Uncertain Data for Quantitative Risk Analysis,2027-02-28,35174,https://www.myhuiban.com/journal/190
1233,Dyes and Pigments,3.9,Elsevier,0143-7208,,occasion of the 7th International Symposium on Aggregation-Induced Emission,2026-12-31,365,https://www.myhuiban.com/journal/1233
220,Image and Vision Computing,5.0,Elsevier,0262-8856,C,"Multimodal Vision for Medical Imaging: Resilience, Robustness, Fairness, and Interpretability",2027-03-15,47938,https://www.myhuiban.com/journal/220
345,Applied Mathematics and Computation,3.2,Elsevier,0096-3003,,"Computational paradigms, numerical methods, and nonlinear models",2026-12-31,27281,https://www.myhuiban.com/journal/345
1228,Journal of Crystal Growth,2.5,Elsevier,0022-0248,,Proceedings of the 24th International Conference on Molecular Beam Epitaxy,2027-01-31,546,https://www.myhuiban.com/journal/1228
620,Computer Methods and Programs in Biomedicine,4.8,Elsevier,0169-2607,,Exploring the Frontiers of Radiomics: Unveiling Novel Insights through Advanced Techniques and Multimodal Approaches,2027-03-30,26348,https://www.myhuiban.com/journal/620
113,Information Processing & Management,6.9,Elsevier,0306-4573,B,Explainable AI and Network Science for Social Systems and Collective Intelligence,2027-03-31,61821,https://www.myhuiban.com/journal/113
66,Journal of Symbolic Computation,1.1,Elsevier,0747-7171,B,SCML: Symbolic Computation and Machine Learning,2027-04-01,32164,https://www.myhuiban.com/journal/66
693,Journal of Global Optimization,1.7,Springer,0925-5001,B,Mathematical Optimization Theory and Applications: ICMOTA 2026,2027-07-31,16335,https://www.myhuiban.com/journal/693
1108,Intelligence & Robotics,,OAE Publishing,2770-3541,,Learning and Collective Intelligence for Multi-Robot Systems,2027-09-15,11288,https://www.myhuiban.com/journal/1108
